CHARGE1STATUTE,CHARGE1DESCRIPTION,OffenseDescription,OffenseDescription2,OffenseType,OffenseTypeSort
625 ILCS 5.0/5-202,FAILURE TO DISPLAY PLATES - TOW TRUCK,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/5-503,OPERATE W/O LICENSE,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,DL EXPIRED MORE THAN A YEAR,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE (SOLICITATION),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,DRIVING/NO LIC/CANC/SEX OFFEN,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,DRIVING/NO LICENSE/PERMIT/AGE,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,FAIL OBTAIN LIC/AFTER REVOC,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-101,UNLICENSED,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-104-A,DRIVERS LICENSE -  VIOLATION CLASSIFICAITON,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-206.2-A,OP W/O IGNITION LOCK DEVICE,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-206.2-A-5,IGNITION LOCK DEVICE/SOLICIT,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-210-1,DRIVING DURING SUSPENSION,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301-A-1,IVC - POSS CANC/SUSP/RVK/LIC/PERMIT,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301-A-1,POSS CANC/SUSP/RVK/LIC/2ND +,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301-A-1,POSS CANC/SUSP/RVK/LIC/PERMIT,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301-A-3,USE ANOTHERS LICENSE/PERMIT,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301-A-4,FAIL SURR CANC/SUSP/RVK LIC,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301-A-5,ALLOW UNLAWFUL USE OF LICENSE,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.1-B-1,IVC - DRIVER'S LICENSE/PERMIT - KNOW POSS FICT/ALTERED,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.1-B-1,KNOW POSS FIC/ALT LIC/PERMIT,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.1-B-11,IVC - POSSESS FIC DL/SUSP/REVOKED,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301.1-B-11,POSS FIC DL/SUSP/REVOKED/2ND+,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-301.1-B-3,POSS FIC/ALT DL/THEFT/2ND,Possessing fictitious or altered license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.1-B-5,IVC - POSS FIC/ALT DL/DEFRAUD,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.2-B-1,IVC - KNOW POSS FRAUD DL/PERMIT,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.2-B-12,POSS FRAUD DL/SUSP/REVOKED,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.2-B-12,POSS FRAUD DL/SUSP/REVOKED/2+,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.2-B-3,IVC - POSS/DISPLAY FRAUD DL/INTENT,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.2-B-4,POSS FRAUD/DL/PERMIT/VIO ACT,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-301.2-B-8,POSS STOL DL IMPLEMNT/USE MAT,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVE REVOKE/RECK HOMIC/2ND,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVE REVOKE/RECK HOMIC/4+,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVE REVOKED/RECK HOMIC,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVE REVOKED/RECK HOMIC/3RD,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE (SOLICITATION),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE (ATTEMPT),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE (CONSPIRACY),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE (SOLICITATION),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING REVOKED/UNPAID FEES,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 10-14,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 15+,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 2ND,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 3RD,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 4-9,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP/SSS/MDDP ELIG,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRVG ON SUSP LICENSE/FTA,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,DRVG REVOKED/2+/PERS INJ/DEATH,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,IVC - DRIVING/RVK/SUSP/MDDP/NO DEVICE,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-303-A,IVC - DRIVING/RVK/SUSP/MDDP/NO DEVICE (SOLICITATION),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/6-304.1,PERMIT A DUI TO OCCUR,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-507-A-2,CDL NOT OBTAINED,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
625 ILCS 5.0/6-507-B-1,IVC - VIOLATE CDL/LICENSE SUSPENDED,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5.0/7-402,IVC - SURRENDER LICENSE TO DRIVE/REGISTRATION,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
625 ILCS 5/6-303-C-4,DRIVING ON REVOKED LICENSE/DRIVING VEH W/O IGNITION INTERLOC,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense,4
7-12-030,ANIMAL - ANIMALS SHALL BE RESTRAINED,Other offense,Other public order offense,Public order offense,6
7-12-140,ANIMAL - ANIMALS/LICENSE REQUIRED,Other offense,Other public order offense,Public order offense,6
7-24-020,FRAUDULENT PRESCRIPTION,Other offense,Other public order offense,Public order offense,6
7-24-080,INHALING/DRINKING CERTAIN SUBSTANCES,Other offense,Other public order offense,Public order offense,6
7-24-091,POSSESSION OR DELIVERY,Other offense,Other public order offense,Public order offense,6
7-24-099-A,POSSESSION OF CANNABIS UP TO 15 GRAMS,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099-A,POSSESSION OF CANNABIS UP TO 15 GRAMS (ATTEMPT),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099(B)(4),POSS CANNABIS IN PRIV VEH NOT IN SEALED CONTAINER,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099(B)(6),POSS CANNABIS VIO 720 ILCS 550.0/4,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099(C)(4),USE CANNABIS IN MOTOR VEHICLE,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099(C)(6),USE CANNABIS IN PUBLIC PLACE,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099(D)(1),SMOKING CANNABIS VIO SMOKE FREE ILLINOIS ACT,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-24-099(D)(3),UNLAWFUL TRANSFER OF CANNABIS,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
7-28-390,REFUSE - DUMPING ON PUBLIC WAY,Other offense,Other public order offense,Public order offense,6
7-28-440,REFUSE - FLY DUMPING/GARBAGE ON OTHERS PROPERTY,Other offense,Other public order offense,Public order offense,6
7-32-010,SMOKING IN STORES AND ELEVATORS,Other offense,Other public order offense,Public order offense,6
7-32-020,SMOKING IN PUBLIC CONVEYANCES,Other offense,Other public order offense,Public order offense,6
7-32-050,SMOKING IN PUBLIC PLACES,Other offense,Other public order offense,Public order offense,6
705 ILCS 405.0/2-3,NEGLECTED OR ABUSED MINOR,Criminal abuse or neglect,Other battery/assault/neglect,Person offense,1
720 ILCS 125.0/3-A,FAILS TO OBEY PEACE OFFICER,Other offense,Other public order offense,Public order offense,6
720 ILCS 130.0/2,CONTRIBUTE TO NEGLECT OF CHILD,Criminal abuse or neglect,Other battery/assault/neglect,Person offense,1
720 ILCS 130.0/2A,CONTRIBUTING DELINQUENCY OF MINOR,Contributing to the delinquency of a minor,Offenses harming children,Person offense,1
720 ILCS 130.0/2A,CONTRIBUTING DELINQUENCY OF MINOR (ATTEMPT),Contributing to the delinquency of a minor,Offenses harming children,Person offense,1
720 ILCS 135.0/1,TELEPHONE/COMMUNICATION WIRES-OBSCENE MESSAGES,Other offense,Other public order offense,Public order offense,6
720 ILCS 135.0/1-1,HARASSMENT BY PHONE/THREATEN/ KILL,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense,6
720 ILCS 135.0/1-1,HARASSMENT BY TELEPHONE,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense,6
720 ILCS 135.0/1-2,HARASS ELEC COMMUNICATION/2ND,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense,6
720 ILCS 135.0/1-2,HARASSMENT - ELECTRONIC COMUNICATION,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense,6
720 ILCS 150.0/5.1-A,PERMIT SEXUAL ABUSE OF A CHILD,Other offense,Other public order offense,Public order offense,6
720 ILCS 215.0/4-2,THEFT/DAMAGE/FACILITY >300,Theft,Theft,Property offense,2
720 ILCS 215.0/4-2,THEFT/DAMAGE/FACILITY>300-10K,Theft,Theft,Property offense,2
720 ILCS 250.0/16,POSSESS COUNTERFEIT CREDIT CARD,Other offense,Other public order offense,Public order offense,6
720 ILCS 360.0/1,CRIMINAL DAMAGE - TELEPHONE/TELEGRAPH EQUIPMENT,Criminal damage to property,Criminal damage to property/institutional vandalism,Property offense,2
720 ILCS 365.0/1,OBTAIN/AID SERVICE BY FRAUD (ATTEMPT),Other offense,Other public order offense,Public order offense,6
720 ILCS 375.0/1-A,SELL TICKETS NOT IN BOX OFFICE,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/1-3,DIRECT CRIMINAL CONTEMPT,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/1-3,INDIRECT CRIMINAL CONTEMPT,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/10-1-A-1,KIDNAPPING - SECRETLY CONFINE,Kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-1-A-2,KIDNAPPING - FORCE OR THREAT OF FORCE,Kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-1-A-2,KIDNAPPING - FORCE OR THREAT OF FORCE (ATTEMPT),Kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-1-A-3,KIDNAPPING - DECEIT OR ENTICEMENT,Kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-1-A-3,KIDNAPPING - DECEIT OR ENTICEMENT (ATTEMPT),Kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-1,AGG KIDNAPING - RANSOM,Aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-2,AGG KIDNAP/<13/INTEL DISABL,Aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-2,AGG KIDNAP/<13/INTEL DISABL (ATTEMPT),Aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-3,AGG KIDNAPING-INFLICT HARM,Aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-4,AGG KIDNAPING-CONCEAL IDENTITY,Aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-5,AGGRAVATED KIDNAPING/ARMED,Aggravated kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-2-A-6,KIDNAPING/ARMED WITH FIREARM,Kidnapping,Kidnapping/aggravated kidnapping,Person offense,1
720 ILCS 5.0/10-3,UNLAWFUL RESTRAINT,Unlawful restraint,Unlawful restraint/forcible detention,Person offense,1
720 ILCS 5.0/10-3,UNLAWFUL RESTRAINT (ATTEMPT),Unlawful restraint,Unlawful restraint/forcible detention,Person offense,1
720 ILCS 5.0/10-3.1-A,AGGRAVATED UNLAWFUL RESTRAINT,Unlawful restraint,Unlawful restraint/forcible detention,Person offense,1
720 ILCS 5.0/10-5-B-1,CHILD ABDUCTION CONCEAL/DETAIN,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5-B-10,CHILD ABDUCTION - LURE<16 YRS VEH,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5-B-10-A,CHIL ABDUCTN/LURE CHIL/VIC <17,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5-B-10-A,CHIL ABDUCTN/LURE/VIC <17/2+,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5-B-10-B,CHIL ABDUCTN/TRAV SCH/VIC <17,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5-B-3,CHILD ABDUCTION/FATHER CONCEALS,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5-B-5,CHILD ABDUCTN/FAIL RETURN CHILD ILLINOIS,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5.1-A,CHILD LURING/OFFENDER 21+,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5.1-B,CHILD LURING/OFFENDER >18 <21,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5.1-B,CHILD LURING/OFFENDER >18 <21 (ATTEMPT),Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-5.5-B,UNLAWFUL VISITATION INTERFERENCE,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/10-5.5-B,UNLWFL VISITATION INTERFERENCE,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/10-6-A,HARBORING RUNAWAY,Other offense,Other public order offense,Public order offense,6
720 ILCS 5.0/10-7-A-I,CHILD ABDUCTION - AID IN CHILD ABDUCTION,Child abduction,Offenses harming children,Person offense,1
720 ILCS 5.0/10-9-B-1,INVOL SERV/THREATEN PHY HARM,Involuntary servitude,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-B-2,AGG INVOL SERV/PHY RESTRAIN,Involuntary servitude,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-B-2,INVOL SERV/PHYSICALLY RESTRAIN,Involuntary servitude,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-C-2,INVOL SEX SERV MINOR<17,Involuntary servitude of a minor,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-D-1,AGGRAVATED TRAFFICKING/RECRUIT,Trafficking in persons,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-D-1,TRAFFICKING FOR LABOR/RECRUITS,Trafficking in persons,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-D-2,AGGRAVATED TRAFFICKING/BENEFIT,Trafficking in persons,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/10-9-D-2,TRAFFICKING FOR LABOR/BENEFITS,Trafficking in persons,Human trafficking/involutary servitude,Person offense,1
720 ILCS 5.0/11-1.20-A-1,CRIM SEX ASLT/FORCE/PREV CONV,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-1,CRIM SEX ASSAULT/FORCE,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-1,CRIM SEX ASSAULT/FORCE (ATTEMPT),Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-2,CRIMINAL SEX ASSAULT/CONSENT,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-2,CRIMINAL SEX ASSAULT/CONSENT (ATTEMPT),Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-2,SX ASLT/CONSENT/PREV CONVICT,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-3,CRIM SEX ASLT/FAM MBR <18/2+,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-3,CRIM SEX ASLT/FAMILY MEMBER<18,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-3,CRIM SEX ASLT/FAMILY MEMBER<18 (ATTEMPT),Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-4,CRIM SEX ASLT/SUPER VIC 13-17,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.20-A-4,CRIM SEX ASLT/VICTIM 13-17/2+,Criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-1,AGG CRIM SEX ASSAULT/WEAPON,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-1,AGG CRIM SEX ASSAULT/WEAPON (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-2,AGG CRIM SEX ASLT/BODILY HARM,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-2,AGG CRIM SEX ASLT/BODILY HARM (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-3,AGG CRIM SEX ASLT/THREAT LIFE,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-3,AGG CRIM SEX ASLT/THREAT LIFE (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-4,AGG CRIM SEX ASSAULT/FELONY,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-4,AGG CRIM SEX ASSAULT/FELONY (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-5,AGG CRIM SEX ASSAULT/VIC 60+,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-5,AGG CRIM SEX ASSAULT/VIC 60+ (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-6,AGG CRIM SEX ASLT/HANDICAPPED,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-6,AGG CRIM SEX ASLT/HANDICAPPED (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-7,AGG CRIM SEX ASSAULT/CON SUB,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-8,AGG CRIM SEX ASSAULT/FIREARM,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-A-8,AGG CRIM SEX ASSAULT/FIREARM (ATTEMPT),Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-B-I,AGG CRIM SEX ASSAULT/VICTIM <9,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-B-II,AGG CRIM SX ASLT/FORCE VIC9-13,Attempt aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.30-C,AGG CRIM SEX ASLT/INTEL DISABL,Aggravated criminal sexual assault,Criminal sexual assault/aggravated criminal sexual assault,Person offense,1
720 ILCS 5.0/11-1.40-A-1,PRED CRIM SEX ASLT/VICTIM <13,Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.40-A-1,PRED CRIM SEX ASLT/VICTIM <13 (ATTEMPT),Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.40-A-2-A,PRED CRIM SEX ASLT/VIC <13/FIR,Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.40-A-2-B,PRED CRIM SX ASLT/VIC<13/DISCH,Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.40-A-2-C,PRED CRIM SEX ASLT/BODILY HARM,Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.40-A-2-D,PRED CRIM SEX ASSAULT/CON SUB,Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.40-A-2-D,PRED CRIM SEX ASSAULT/CON SUB (ATTEMPT),Predatory criminal sexual assault of a child,Sex offenses involving children,Person offense,1
720 ILCS 5.0/11-1.50-A-1,CRIMINAL SEXUAL ABUSE/FORCE,Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-A-1,CRIMINAL SEXUAL ABUSE/FORCE (ATTEMPT),Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-A-1,CRIMINAL SEXUAL ABUSE/FORCE/2+,Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-A-2,CRIM SEXUAL ABUSE/CONSENT,Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-A-2,CRIM SEXUAL ABUSE/CONSENT/2+,Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-B,CRIM SEX AB/PERS <17/VIC 9<17,Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-C,CRIM SEX AB/<5 YR OLDER VICTIM,Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.50-C,CRIM SEX AB/<5 YR OLDER VICTIM (SOLICITATION),Criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-1,AGG CRIM SEXUAL ABUSE/WEAPON,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-2,AGG CRIM SEX ABUSE/BODILY HARM,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-3,AGG CRIM SEX ABUSE/VICTIM 60+,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-3,AGG CRIM SEX ABUSE/VICTIM 60+ (ATTEMPT),Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-4,AGG CRIM SEX AB/HANDICAPPED,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-5,AGG CRIM SEX ABUSE/THREAT LIFE,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-6,AGG CRIM SEXUAL ABUSE/FELONY,Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
720 ILCS 5.0/11-1.60-A-6,AGG CRIM SEXUAL ABUSE/FELONY (ATTEMPT),Aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense,1
